Id, Cat1Rank, Cat2Rank, Cat3rank, Choices
120620374,99999,530,99999,C0826|C0800|A2200|A0200
120616613,99999,1387,99999,C0900|C0100|A0700|A1700|C0700|C0400|C0300|C0800|A0800
120613896,99999,99999,3145,C0122|C0422|C0322|C1022|C0922
120610767,99999,4009,99999,C0900|C0100|C0700|A1700|A0700|C0400|C0800|A1600|C0300|C0129|C0429|C0785|C0285|C0329|C0629
120616879,99999,3031,2024,C0900|C0100|C0400|C0300|C0129|C0429|C0922|C0329|A0900|C0122|C0422|C0629|C0322|C0800|C0700|C0822|A2400|C0622|A1700|A0700|A0800|A2000|A2100|A1300|A1900|A0600|C1022|C0522
120503761,226,4410,99999,C0928|C0228|C0828|C0129|C0700|C0900|C0100|A1300|C0800|C0329|C0429|C0300|C0400|A0228|C0628|C0629|A0700|A0900|A0800|A0600|A0200|A1200|A1000|A1100|A0500|C0933
120614788,99999,2743,2231,C0900|C0100|C0400|C0700|C0922|C0122|C0422|C0129|C0429|C0800|C0300|C0822|C0329|C0285|C0785
120611351,99999,1688,99999,C0900|A1300|A1700|C0100|C0400|C0700|C0300|A0700|C0800|A2100
120607438,99999,1068,99999,C0900|C0926|C0928|C0429|C0400|C0100|C0126|C0129|C0228|C0285|C0785
120617829,99999,705,723,C0900|C0100|C0700|C0800|C0400|C0129|C0429|C0629|A0200|A2200|C0285|C0785|C0928|C0228|C0828|C0628|A1739
120609470,99999,4284,2296,C0922|C0900|C0920|A1700|A1739|A1300|C0700|A0700|C0122|C0422|C0400|C0100|C0129|C0429|A0600|A1600|A0800
120610682,99999,3204,99999,C0900|C0300|C0100|C0400|C0700|C0800|C0126|C0526|C0926|C0726|C0826|A1726|A2426|A2026|A0700|A1700|A1900|A0800|A2100|A2400|A1200|A1300|A2300|A0900|A0600|A1600|A2500|A1000|A2000|A0200|A0400|A2200|A0100|A0500|A1100|A1500|A0300
120500128,99999,1150,981,C0900|C0928|C0926|C0100|C0129|C0126|C0839|C0800|C0828|C0826|C0400|C0429|C0228|C0700|C0726|C0629|C0628|C0300|C0526
120500197,53,432,99999,C0900|A1700|A0700|C0100|C0400|C0300|C0800
120506052,99999,2533,99999,C0900|C0400|A1700|A0700|A0800|A0600|A1600|C0100|C0800|C0700|C0926|C0300|C0429|C0129|C0126|A0900|A1200|A1300|A1726
120607067,99999,2975,99999,C0900|C0400|C0100|C0700|C0800|A1700|A0700|A0800|A0600|A0900|C0300|A2000|A1300|A2400|A2100|A1900|A0200|A1600|A1200|A2200
